region,size(GB),VPU,max_iops,max_throughput(MBps),price($/h),daily_price,weekly_price,monthly_price(730h)
Asia Pacific (Malaysia),30,0,60,7,0.0036,0.09,0.6,2.59
Asia Pacific (Malaysia),30,10,1800,14,0.0036,0.09,0.6,2.59
Asia Pacific (Malaysia),30,20,2250,17,0.0036,0.09,0.6,2.59
Asia Pacific (Malaysia),30,120,6750,52,0.0313,0.75,5.26,22.84
Asia Pacific (Malaysia),200,0,400,46,0.0237,0.57,3.98,17.28
Asia Pacific (Malaysia),200,10,12000,93,0.0902,2.17,15.16,65.88
Asia Pacific (Malaysia),200,20,15000,117,0.1124,2.7,18.89,82.08
Asia Pacific (Malaysia),200,120,45000,351,0.3477,8.35,58.42,253.84
Asia Pacific (Malaysia),1000,0,2000,234,0.1248,3.0,20.97,91.11
Asia Pacific (Malaysia),1000,10,50000,468,0.4863,11.67,81.7,355.02
Asia Pacific (Malaysia),1000,20,50000,585,0.4932,11.84,82.87,360.07
Asia Pacific (Malaysia),1000,120,50000,680,0.4989,11.97,83.81,364.18
Asia Pacific (New Zealand),30,0,60,7,0.0041,0.1,0.7,3.02
Asia Pacific (New Zealand),30,10,1800,14,0.0041,0.1,0.7,3.02
Asia Pacific (New Zealand),30,20,2250,17,0.0041,0.1,0.7,3.02
Asia Pacific (New Zealand),30,120,6750,52,0.0365,0.88,6.13,26.65
Asia Pacific (New Zealand),200,0,400,46,0.0276,0.66,4.64,20.16
Asia Pacific (New Zealand),200,10,12000,93,0.1053,2.53,17.69,76.86
Asia Pacific (New Zealand),200,20,15000,117,0.1312,3.15,22.04,95.76
Asia Pacific (New Zealand),200,120,45000,351,0.4057,9.74,68.16,296.15
Asia Pacific (New Zealand),1000,0,2000,234,0.1456,3.49,24.46,106.29
Asia Pacific (New Zealand),1000,10,50000,468,0.5674,13.62,95.32,414.19
Asia Pacific (New Zealand),1000,20,50000,585,0.5755,13.81,96.68,420.08
Asia Pacific (New Zealand),1000,120,50000,680,0.582,13.97,97.78,424.87
Asia Pacific (Taipei),30,0,60,7,0.0036,0.09,0.6,2.59
Asia Pacific (Taipei),30,10,1800,14,0.0036,0.09,0.6,2.59
Asia Pacific (Taipei),30,20,2250,17,0.0036,0.09,0.6,2.59
Asia Pacific (Taipei),30,120,6750,52,0.0313,0.75,5.26,22.84
Asia Pacific (Taipei),200,0,400,46,0.0237,0.57,3.98,17.28
Asia Pacific (Taipei),200,10,12000,93,0.0902,2.17,15.16,65.88
Asia Pacific (Taipei),200,20,15000,117,0.1124,2.7,18.89,82.08
Asia Pacific (Taipei),200,120,45000,351,0.3477,8.35,58.42,253.84
Asia Pacific (Taipei),1000,0,2000,234,0.1248,3.0,20.97,91.11
Asia Pacific (Taipei),1000,10,50000,468,0.4863,11.67,81.7,355.02
Asia Pacific (Taipei),1000,20,50000,585,0.4932,11.84,82.87,360.07
Asia Pacific (Taipei),1000,120,50000,680,0.4989,11.97,83.81,364.18
Asia Pacific (Thailand),30,0,60,7,0.0036,0.09,0.6,2.59
Asia Pacific (Thailand),30,10,1800,14,0.0036,0.09,0.6,2.59
Asia Pacific (Thailand),30,20,2250,17,0.0036,0.09,0.6,2.59
Asia Pacific (Thailand),30,120,6750,52,0.0313,0.75,5.26,22.84
Asia Pacific (Thailand),200,0,400,46,0.0237,0.57,3.98,17.28
Asia Pacific (Thailand),200,10,12000,93,0.0902,2.17,15.16,65.88
Asia Pacific (Thailand),200,20,15000,117,0.1124,2.7,18.89,82.08
Asia Pacific (Thailand),200,120,45000,351,0.3477,8.35,58.42,253.84
Asia Pacific (Thailand),1000,0,2000,234,0.1248,3.0,20.97,91.11
Asia Pacific (Thailand),1000,10,50000,468,0.4863,11.67,81.7,355.02
Asia Pacific (Thailand),1000,20,50000,585,0.4932,11.84,82.87,360.07
Asia Pacific (Thailand),1000,120,50000,680,0.4989,11.97,83.81,364.18
EU (Frankfurt),30,0,60,7,0.0039,0.09,0.66,2.86
EU (Frankfurt),30,10,1800,14,0.0039,0.09,0.66,2.86
EU (Frankfurt),30,20,2250,17,0.0039,0.09,0.66,2.86
EU (Frankfurt),30,120,6750,52,0.0347,0.83,5.84,25.36
EU (Frankfurt),200,0,400,46,0.0261,0.63,4.38,19.04
EU (Frankfurt),200,10,12000,93,0.1001,2.4,16.81,73.04
EU (Frankfurt),200,20,15000,117,0.1247,2.99,20.95,91.04
EU (Frankfurt),200,120,45000,351,0.386,9.26,64.85,281.8
EU (Frankfurt),1000,0,2000,234,0.1375,3.3,23.1,100.39
EU (Frankfurt),1000,10,50000,468,0.5391,12.94,90.57,393.53
EU (Frankfurt),1000,20,50000,585,0.5467,13.12,91.85,399.1
EU (Frankfurt),1000,120,50000,680,0.5529,13.27,92.89,403.62
EU (Ireland),30,0,60,7,0.0036,0.09,0.61,2.64
EU (Ireland),30,10,1800,14,0.0036,0.09,0.61,2.64
EU (Ireland),30,20,2250,17,0.0036,0.09,0.61,2.64
EU (Ireland),30,120,6750,52,0.0319,0.76,5.35,23.27
EU (Ireland),200,0,400,46,0.0241,0.58,4.05,17.6
EU (Ireland),200,10,12000,93,0.0919,2.21,15.44,67.1
EU (Ireland),200,20,15000,117,0.1145,2.75,19.24,83.6
EU (Ireland),200,120,45000,351,0.3542,8.5,59.5,258.54
EU (Ireland),1000,0,2000,234,0.1271,3.05,21.36,92.8
EU (Ireland),1000,10,50000,468,0.4953,11.89,83.22,361.59
EU (Ireland),1000,20,50000,585,0.5024,12.06,84.4,366.74
EU (Ireland),1000,120,50000,680,0.5081,12.19,85.36,370.92
EU (London),30,0,60,7,0.0038,0.09,0.64,2.78
EU (London),30,10,1800,14,0.0038,0.09,0.64,2.78
EU (London),30,20,2250,17,0.0038,0.09,0.64,2.78
EU (London),30,120,6750,52,0.0336,0.81,5.65,24.53
EU (London),200,0,400,46,0.0254,0.61,4.27,18.56
EU (London),200,10,12000,93,0.0969,2.33,16.28,70.76
