region,size(GB),VPU,max_iops,max_throughput(MBps),price($/h),daily_price,weekly_price,monthly_price(730h)
us-west-1,1000,120,50000,680,0.5543,13.3,93.12,404.64
us-west-2,30,0,60,7,0.0033,0.08,0.55,2.4
us-west-2,30,10,1800,14,0.0033,0.08,0.55,2.4
us-west-2,30,20,2250,17,0.0033,0.08,0.55,2.4
us-west-2,30,120,6750,52,0.029,0.7,4.87,21.15
us-west-2,200,0,400,46,0.0219,0.53,3.68,16.0
us-west-2,200,10,12000,93,0.0836,2.01,14.04,61.0
us-west-2,200,20,15000,117,0.1041,2.5,17.49,76.0
us-west-2,200,120,45000,351,0.322,7.73,54.09,235.04
us-west-2,1000,0,2000,234,0.1156,2.77,19.41,84.36
us-west-2,1000,10,50000,468,0.4503,10.81,75.65,328.72
us-west-2,1000,20,50000,585,0.4567,10.96,76.73,333.4
us-west-2,1000,120,50000,680,0.4619,11.09,77.6,337.2
